left,right,confidence_score
84319,86093,1.0
15637,61471,1.0
6804,23642,1.0
6945,1923,1.0
7897,30443,1.0
8025,40352,1.0
25602,76526,1.0
66502,92489,1.0
24614,16639,1.0
23969,25375,1.0
12250,39204,1.0
13797,39204,1.0
58447,608,1.0
23600,61733,1.0
22946,43568,1.0
65567,28576,1.0
20407,86913,1.0
64890,55843,1.0
21027,18533,1.0
22728,93106,1.0
58698,73395,1.0
1248,25198,1.0
1334,35615,1.0
1364,69903,1.0
63566,63205,1.0
23192,61733,1.0
6803,23642,1.0
5722,31636,1.0
4978,431,1.0
25616,82632,1.0
26359,84436,1.0
21878,29007,1.0
69468,94362,1.0
68852,89982,1.0
531,16743,1.0
68852,23044,1.0
68851,89982,1.0
68850,89982,1.0
26169,84436,1.0
68075,72584,1.0
68074,72584,1.0
68044,46355,1.0
1361,16743,1.0
1719,51999,1.0
26086,47055,1.0
67642,18904,1.0
26085,47055,1.0
67260,89982,1.0
1815,53383,1.0
2994,59809,1.0
67260,23044,1.0
25806,82632,1.0
3529,53383,1.0
63279,68120,1.0
22852,70420,1.0
58521,39334,1.0
22476,34404,1.0
82610,48599,1.0
82582,48599,1.0
23898,16374,1.0
82175,84174,1.0
24224,76519,1.0
5565,27094,1.0
8376,43578,1.0
11801,24942,1.0
14356,23567,1.0
14358,23567,1.0
15309,44059,1.0
22168,49718,1.0
6272,63112,1.0
22659,76321,1.0
23793,29163,1.0
24246,38935,1.0
24267,49718,1.0
79022,39620,1.0
25904,69459,1.0
27587,88943,1.0
28240,56431,1.0
22050,40263,1.0
22001,63034,1.0
77852,39620,1.0
22654,53785,1.0
22971,64481,1.0
18737,64481,1.0
83478,84464,1.0
61595,31324,1.0
61334,59509,1.0
6642,63112,1.0
60176,63205,1.0
7659,63965,1.0
8317,35757,1.0
58788,73395,1.0
11402,54976,1.0
58654,68120,1.0
57181,76237,1.0
13002,55807,1.0
56285,76237,1.0
14943,10667,1.0
55924,83146,1.0
15409,63965,1.0
86124,47466,1.0
85744,84797,1.0
85221,84797,1.0
15418,10667,1.0
17175,81292,1.0
17351,35307,1.0
17715,35307,1.0
18159,43099,1.0
20170,29007,1.0
26752,68848,1.0
11490,8423,1.0
55430,76855,1.0
82014,28164,1.0
1898,92090,1.0
82812,58058,1.0
56421,83795,1.0
1209,70372,1.0
1210,70372,1.0
82832,58058,1.0
5534,55871,1.0
1779,2583,1.0
55600,92458,1.0
55595,92458,1.0
55426,76855,1.0
9499,40241,1.0
7311,55871,1.0
8062,51458,1.0
14921,41564,1.0
1423,51023,1.0
17662,41564,1.0
83922,50103,1.0
772,76556,1.0
85660,70945,1.0
839,39920,1.0
85046,59672,1.0
2396,74572,1.0
2223,44492,1.0
24457,17251,1.0
23036,60607,1.0
57359,27598,1.0
6027,68454,1.0
60438,74002,1.0
6393,68454,1.0
7397,88134,1.0
9774,86461,1.0
60157,17884,1.0
10769,32739,1.0
10770,32739,1.0
60152,17884,1.0
59518,30721,1.0
12731,92290,1.0
15753,51056,1.0
58849,42173,1.0
58766,50961,1.0
19436,27670,1.0
20786,86391,1.0
57833,50961,1.0
57780,74002,1.0
21527,84579,1.0
57541,42173,1.0
22260,17251,1.0
22475,64680,1.0
57454,39385,1.0
2695,13152,1.0
2884,80047,1.0
494,4270,1.0
1949,8771,1.0
16184,3809,1.0
76043,90351,1.0
76016,49558,1.0
16561,43807,1.0
75309,75841,1.0
86324,4324,1.0
21469,62284,1.0
22304,57171,1.0
23541,87436,1.0
23859,62284,1.0
86737,92520,1.0
73584,62320,1.0
24493,57171,1.0
27399,87527,1.0
72828,53675,1.0
26900,38465,1.0
27196,18603,1.0
955,76283,1.0
71912,49558,1.0
71742,27534,1.0
3360,15416,1.0
55653,37041,1.0
56254,50423,1.0
13035,43807,1.0
186,83593,1.0
84280,76713,1.0
185,83593,1.0
82915,19421,1.0
3264,80047,1.0
3573,37513,1.0
3576,37513,1.0
84432,43556,1.0
28238,26622,1.0
4057,23882,1.0
5496,16495,1.0
8529,71278,1.0
11740,71278,1.0
15130,44576,1.0
15932,89938,1.0
16582,5481,1.0
27973,72495,1.0
17092,35582,1.0
78505,24103,1.0
18832,44576,1.0
19897,5481,1.0
85274,50103,1.0
86025,43556,1.0
24909,85580,1.0
25504,85580,1.0
25835,4551,1.0
21231,12421,1.0
84468,67747,1.0
60429,2564,1.0
26721,20922,1.0
16904,35803,1.0
17242,89883,1.0
19852,17121,1.0
78194,78657,1.0
77829,69885,1.0
16231,74754,1.0
76812,69885,1.0
76595,4066,1.0
76306,54382,1.0
25440,46746,1.0
75485,14999,1.0
75405,60065,1.0
10826,87798,1.0
27077,85235,1.0
27106,14232,1.0
15754,30492,1.0
74108,69551,1.0
939,84590,1.0
4566,8831,1.0
73864,32573,1.0
73863,32573,1.0
73101,77915,1.0
71667,77915,1.0
70986,16527,1.0
16611,82354,1.0
80261,15578,1.0
9632,76628,1.0
6970,12567,1.0
13726,85246,1.0
15713,65440,1.0
15717,65440,1.0
62519,608,1.0
19957,15657,1.0
81744,23247,1.0
20779,28319,1.0
62784,40048,1.0
22143,78342,1.0
23795,41702,1.0
24120,53413,1.0
62789,40048,1.0
24885,24874,1.0
25080,53413,1.0
26597,17834,1.0
28225,82858,1.0
1206,32679,1.0
2517,12347,1.0
17238,47157,1.0
16237,26622,1.0
6810,58990,1.0
80417,76793,1.0
6820,49309,1.0
5926,5257,1.0
15463,42986,1.0
12752,91356,1.0
65148,560,1.0
15165,36798,1.0
64304,48250,1.0
64303,48250,1.0
27005,43265,1.0
783,88533,1.0
5100,38575,1.0
10722,17192,1.0
15071,55502,1.0
13366,83491,1.0
13462,48967,1.0
23779,17428,1.0
61472,54529,1.0
61470,54529,1.0
61008,34395,1.0
25547,17428,1.0
27129,31962,1.0
1679,3765,1.0
60379,30516,1.0
59575,79369,1.0
13069,26787,1.0
8916,27757,1.0
59219,19727,1.0
12315,12582,1.0
64731,63861,1.0
25246,56261,1.0
13586,40985,1.0
25169,60026,1.0
19385,3806,1.0
21216,38731,1.0
24080,764,1.0
70864,20427,1.0
70538,34597,1.0
70250,85800,1.0
70245,87571,1.0
2106,6096,1.0
2800,83839,1.0
64346,69961,1.0
68943,16527,1.0
3004,85535,1.0
15316,55502,1.0
5020,88234,1.0
8933,62580,1.0
68232,9327,1.0
68037,63861,1.0
67578,85800,1.0
64851,33541,1.0
67204,9327,1.0
15560,25434,1.0
18429,82152,1.0
21735,32984,1.0
13121,61971,1.0
10498,85246,1.0
76095,4217,1.0
19343,40355,1.0
22045,87442,1.0
22057,87442,1.0
25157,26735,1.0
26491,34918,1.0
2186,43387,1.0
3065,44436,1.0
12086,21436,1.0
12204,58031,1.0
20269,87212,1.0
66569,7722,1.0
66343,35040,1.0
18900,64074,1.0
85265,23247,1.0
18443,8015,1.0
18290,40263,1.0
20945,23787,1.0
22452,56237,1.0
22454,56237,1.0
66163,6756,1.0
22632,21436,1.0
66097,50040,1.0
23311,78747,1.0
23312,78747,1.0
25003,15886,1.0
18758,50612,1.0
18629,45927,1.0
18360,45617,1.0
16868,73140,1.0
20770,87255,1.0
23333,62765,1.0
73825,73540,1.0
23334,62765,1.0
974,24657,1.0
4121,53605,1.0
4201,41491,1.0
71161,42899,1.0
5655,7125,1.0
20699,56168,1.0
6286,24658,1.0
6287,24658,1.0
7271,53605,1.0
60439,2564,1.0
8136,19768,1.0
69765,25212,1.0
69759,25212,1.0
8943,7125,1.0
11966,41491,1.0
13847,93646,1.0
14979,45617,1.0
15809,66353,1.0
16866,73140,1.0
18246,56168,1.0
18123,159,1.0
26826,28259,1.0
57663,80263,1.0
2360,69822,1.0
2818,67044,1.0
57098,80263,1.0
3740,82579,1.0
4093,219,1.0
4701,92582,1.0
56344,10120,1.0
55620,83072,1.0
5834,54437,1.0
7337,29544,1.0
55592,52422,1.0
7618,3053,1.0
9997,14557,1.0
10993,92136,1.0
15817,29892,1.0
22596,29892,1.0
55503,79405,1.0
55406,22025,1.0
24094,66687,1.0
2870,67773,1.0
5202,5558,1.0
5442,56040,1.0
6271,4741,1.0
17697,85422,1.0
57952,22952,1.0
65115,22952,1.0
1107,44852,1.0
5835,64201,1.0
18065,8015,1.0
64265,21473,1.0
63187,35040,1.0
62791,43793,1.0
62060,1433,1.0
61532,41593,1.0
14044,74635,1.0
61243,15425,1.0
17761,159,1.0
15302,3004,1.0
60609,43793,1.0
19009,59071,1.0
24512,55497,1.0
60345,27356,1.0
60161,24330,1.0
60154,24330,1.0
17708,85422,1.0
26407,69958,1.0
58791,559,1.0
58773,83072,1.0
417,67044,1.0
1080,89251,1.0
60538,27598,1.0
60594,19754,1.0
60659,30721,1.0
11663,68992,1.0
7986,42269,1.0
82405,85717,1.0
78914,32017,1.0
8673,8504,1.0
8714,26275,1.0
83064,81590,1.0
9967,55644,1.0
78638,5515,1.0
10313,76814,1.0
83090,79726,1.0
83438,40723,1.0
27148,35002,1.0
21060,29534,1.0
77845,86033,1.0
77840,86033,1.0
84125,91032,1.0
84175,10241,1.0
13703,27180,1.0
76930,63256,1.0
15422,27899,1.0
76425,74204,1.0
16910,11874,1.0
76422,74204,1.0
84402,27296,1.0
79699,50413,1.0
6984,59565,1.0
79910,41114,1.0
6795,41535,1.0
82798,18826,1.0
27922,63576,1.0
82772,76064,1.0
28168,23594,1.0
82528,85628,1.0
82242,14413,1.0
1138,76856,1.0
82001,5305,1.0
1740,29290,1.0
81987,5305,1.0
2337,58894,1.0
2554,57807,1.0
2766,9116,1.0
81468,37906,1.0
3089,65481,1.0
4341,7581,1.0
4709,59565,1.0
4877,8504,1.0
5527,14289,1.0
82181,23483,1.0
80882,26525,1.0
80597,26525,1.0
80408,17891,1.0
76073,68014,1.0
75812,63256,1.0
27001,36503,1.0
71908,70716,1.0
25400,71498,1.0
24472,60406,1.0
26661,27442,1.0
27043,1547,1.0
71448,59228,1.0
20896,43841,1.0
85436,23483,1.0
85595,72831,1.0
2445,90997,1.0
71313,44070,1.0
70920,69480,1.0
4279,52704,1.0
85956,10241,1.0
4655,43348,1.0
4723,43348,1.0
67773,44953,1.0
66927,46697,1.0
66894,44070,1.0
66644,32544,1.0
5746,9088,1.0
17452,73639,1.0
5973,77506,1.0
6823,60033,1.0
24705,5084,1.0
71945,75199,1.0
75365,90597,1.0
72279,92661,1.0
17986,3760,1.0
74405,46383,1.0
74355,39115,1.0
74315,1950,1.0
74244,57074,1.0
18369,51286,1.0
84763,72831,1.0
74147,54875,1.0
18811,90974,1.0
18901,81391,1.0
19133,81391,1.0
20324,11874,1.0
74146,54875,1.0
21512,36903,1.0
22312,68343,1.0
22468,90974,1.0
72758,3931,1.0
25072,72522,1.0
22676,59693,1.0
23828,58903,1.0
24455,59693,1.0
25244,24872,1.0
72280,92661,1.0
24508,19707,1.0
220,31299,1.0
17406,15365,1.0
7444,47143,1.0
2547,31299,1.0
97,83571,1.0
78171,16867,1.0
1651,5892,1.0
2149,5892,1.0
65981,37292,1.0
65980,20685,1.0
4016,60763,1.0
4195,60763,1.0
6476,85503,1.0
6909,51780,1.0
8718,85503,1.0
20775,61332,1.0
9243,93260,1.0
13117,74087,1.0
13118,74087,1.0
65704,17200,1.0
65689,17200,1.0
65241,34620,1.0
64719,37292,1.0
13570,8565,1.0
78180,16867,1.0
63695,72774,1.0
16323,11201,1.0
24088,39218,1.0
67413,58193,1.0
2605,45978,1.0
77796,75930,1.0
10360,92746,1.0
11963,49888,1.0
12121,83674,1.0
5992,89767,1.0
5522,79300,1.0
14945,35917,1.0
71357,79684,1.0
15008,35917,1.0
71119,70881,1.0
15415,83107,1.0
16057,12354,1.0
70274,51052,1.0
16435,11402,1.0
70172,79684,1.0
18089,12354,1.0
70084,28510,1.0
69942,28510,1.0
69904,28288,1.0
69078,58193,1.0
69022,67159,1.0
3087,71070,1.0
18352,22635,1.0
2606,45978,1.0
62628,54772,1.0
16332,11201,1.0
78323,75930,1.0
12068,55769,1.0
