left,right,confidence_score
132,31300,1.0
201,88447,1.0
391,16536,0.88
391,36403,1.0
419,6614,0.82
419,33550,0.812
419,70080,1.0
615,67600,0.8640000000000001
692,83777,0.9159999999999999
777,18535,0.884
782,60603,1.0
887,7837,0.828
887,42625,0.812
887,87255,0.852
895,4616,0.9640000000000001
1113,3510,1.0
1372,19929,1.0
1372,37885,0.804
1437,4370,0.812
1437,20686,0.86
1437,27714,0.8640000000000001
1437,79465,0.976
1479,29522,0.8080000000000002
1479,91010,0.82
1480,29522,0.8080000000000002
1480,91010,0.82
1484,19929,1.0
1484,37885,0.804
1587,68489,0.8160000000000001
1587,73437,0.804
1622,68489,0.8160000000000001
1622,73437,0.804
1742,217,0.8440000000000001
1742,2305,0.8360000000000001
1742,33676,0.812
1742,44362,0.82
1742,78018,0.8160000000000001
1743,217,0.8440000000000001
1743,2305,0.8360000000000001
1743,7837,0.8079999999999999
1743,33676,0.812
1743,44362,0.8320000000000001
1743,78018,0.8160000000000001
1877,71755,1.0
1886,25918,0.9520000000000001
1970,22708,0.932
1998,30045,0.94
2045,86841,0.9520000000000001
2046,86841,1.0
2073,22708,0.932
2274,58969,0.82
2397,57875,0.804
2397,93576,0.804
2456,60603,1.0
2487,38558,1.0
2651,68163,0.812
2651,80672,0.8240000000000001
2651,84436,0.852
2670,12421,0.872
2670,18212,0.8480000000000001
2670,47548,0.82
2670,48967,0.8320000000000001
2670,57508,0.856
2670,70755,0.8480000000000001
2855,33776,0.976
3017,68252,1.0
3060,6614,0.82
3060,33550,0.812
3060,70080,1.0
3163,40355,0.8320000000000001
3163,74153,0.956
3375,28841,0.82
3488,40355,0.9680000000000001
3490,38558,1.0
3669,42673,1.0
3695,40355,0.9680000000000001
3737,217,0.812
3737,7837,0.84
3737,42625,0.812
3775,3510,1.0
3860,54526,1.0
4003,68489,0.8160000000000001
4003,73437,0.804
4022,217,0.812
4022,7837,0.84
4022,42625,0.812
4125,30068,0.976
4213,12421,0.8440000000000001
4213,27520,1.0
4213,48967,0.8320000000000001
4213,57508,0.8680000000000001
4213,70755,0.816
4287,28540,1.0
4288,28540,1.0
4297,33230,1.0
4300,33230,1.0
4510,91336,0.812
4693,68489,0.8160000000000001
4693,73437,0.804
4771,68489,0.8160000000000001
4771,73437,0.804
4857,42466,0.9520000000000001
4893,68489,0.8160000000000001
4893,73437,0.804
4924,68889,0.804
4998,217,0.8240000000000001
4998,2305,0.8360000000000001
4998,7837,0.916
4998,29522,0.972
4998,33676,0.812
5409,217,0.8240000000000001
5409,2305,0.8360000000000001
5409,7837,0.916
5409,29522,0.972
5409,33676,0.812
5495,68489,0.8160000000000001
5495,73437,0.804
5533,80672,0.812
5533,84436,0.84
5597,16536,0.88
5597,36403,1.0
5700,217,0.816
5700,2305,0.8440000000000001
5700,7837,0.8240000000000001
5700,18403,0.8440000000000001
5700,29522,0.8079999999999999
5700,33676,0.8760000000000001
5700,56016,0.804
5798,77666,0.816
5920,53319,0.84
6039,75500,0.836
6039,84436,0.82
6066,4208,0.812
6066,8410,0.812
6066,39337,0.804
6066,43139,0.804
6066,50283,0.812
6066,63510,0.812
6066,68163,0.836
6066,75500,0.8280000000000001
6066,80672,0.8240000000000001
6066,83777,0.812
6066,84436,0.852
6094,58841,0.86
6094,69602,0.82
6094,83573,0.804
6112,43843,1.0
6193,91336,0.812
6200,87405,0.9280000000000002
6281,68489,0.8160000000000001
6281,73437,0.804
6290,24307,0.9480000000000001
6312,28627,1.0
6318,68489,0.8160000000000001
6318,73437,0.804
6442,217,0.816
6442,2305,0.8440000000000001
6442,7837,0.8240000000000001
6442,18403,0.8440000000000001
6442,29522,0.8079999999999999
6442,33676,0.8760000000000001
6442,56016,0.804
6466,63510,0.812
6466,80672,1.0
6466,84436,0.852
6551,34497,0.852
6551,78200,0.884
6733,14677,0.812
6733,80672,0.82
6733,84436,0.812
6733,84758,0.836
6792,54798,0.9359999999999999
6857,68489,0.8160000000000001
6857,73437,0.804
6999,43440,0.9640000000000001
7173,41207,1.0
7182,41207,1.0
7280,68489,0.8160000000000001
7280,73437,0.804
7394,18403,0.84
7394,68889,0.8320000000000001
7406,33757,0.88
7406,91336,0.812
7904,84980,1.0
8127,68489,0.8160000000000001
8127,73437,0.804
8157,68489,0.8160000000000001
8157,73437,0.804
8192,23365,0.804
8242,12421,0.856
8242,48967,1.0
8242,57508,0.8680000000000001
8242,70755,0.804
8511,20052,0.8280000000000001
8511,48240,0.804
8512,30926,1.0
8742,68489,0.8160000000000001
8742,73437,0.804
8807,24307,0.9480000000000001
8988,68489,0.8160000000000001
8988,73437,0.804
9081,12421,0.804
9081,57508,0.852
9108,34448,0.8759999999999999
9116,68489,0.8160000000000001
9116,73437,0.804
9133,28627,1.0
9193,68489,0.8160000000000001
9193,73437,0.804
9316,34497,0.852
9316,78200,0.884
9419,5957,1.0
9419,58841,0.836
9419,69602,0.828
9419,79086,0.812
9419,83573,0.8080000000000002
9483,91830,1.0
9494,4313,0.9880000000000001
9579,12421,0.8680000000000001
