left,right,confidence_score
28457,42905,0.8759999999999999
28578,92221,1.0
28603,60546,0.9520000000000001
28604,60546,0.852
28679,73312,0.94
28750,19473,1.0
28848,2364,0.884
28848,16770,0.9
28848,25156,0.86
28848,25221,0.852
28848,29202,0.9
28848,33817,0.852
28848,36395,0.884
28848,61288,0.868
28848,63786,0.8680000000000001
28848,91015,0.9
28863,56899,0.8080000000000002
28863,70883,0.8360000000000001
28898,7007,0.924
28898,24985,0.8240000000000001
28898,78741,0.812
29087,19473,1.0
29088,19288,1.0
29153,42905,0.8759999999999999
29179,19288,1.0
29187,6713,1.0
29332,13489,0.828
29432,50176,0.912
29472,2062,0.96
29642,39508,0.836
29894,65959,1.0
29910,8526,0.856
29910,15376,0.8080000000000002
29910,39830,0.8240000000000001
29916,26450,0.9480000000000001
29940,8526,0.856
29940,15376,0.8080000000000002
29940,39830,0.8240000000000001
29964,36972,0.868
29964,39728,0.812
29964,80632,0.884
30012,47286,1.0
30012,80632,0.8160000000000001
30019,24985,0.8480000000000001
30059,27763,0.92
30182,27763,0.92
30192,49591,0.872
30338,23128,1.0
30342,16943,0.956
30342,51626,0.84
30342,63466,0.8480000000000001
30419,78524,0.82
30420,78524,0.82
30472,17429,0.9079999999999999
30595,20832,1.0
30617,39100,0.9440000000000001
30672,19288,0.8440000000000001
30672,75393,0.82
30673,19288,0.8440000000000001
30673,75393,0.82
30682,56591,0.9520000000000001
30686,13081,0.9480000000000001
30686,15985,1.0
30691,58924,1.0
31086,77097,0.9280000000000002
31123,81045,1.0
31149,36761,1.0
31316,49008,1.0
31317,49008,1.0
31347,84343,1.0
31373,59220,1.0
31398,17963,1.0
31407,90348,1.0
31440,88298,1.0
31524,49591,0.872
31556,78308,1.0
31645,3183,1.0
31645,90684,0.8079999999999999
31703,35344,0.836
31714,20832,1.0
31807,4536,0.9480000000000001
31820,67075,1.0
31937,1269,0.828
31937,21450,0.86
31996,13081,0.9480000000000001
31996,15985,1.0
32046,39100,0.9440000000000001
32121,4536,0.9480000000000001
32170,36761,1.0
32258,37733,0.86
32258,58692,0.96
32308,24354,0.9680000000000001
32412,77321,0.932
32465,81045,0.9079999999999999
32474,16498,0.888
32474,28339,1.0
32474,72085,0.8440000000000001
32633,75229,1.0
32729,2364,0.86
32729,25221,0.8440000000000001
32729,29202,0.884
32729,36395,0.8280000000000001
32729,61288,0.868
32729,63786,1.0
32729,91015,0.884
32769,82144,1.0
32887,5607,0.9440000000000001
32888,16498,0.852
32888,28339,0.836
32888,72085,1.0
32986,3183,1.0
32986,90684,0.8079999999999999
33016,21898,1.0
33100,56591,0.9880000000000001
33204,29692,1.0
33214,29692,1.0
33238,9414,1.0
33326,88581,0.884
33452,90061,0.956
33689,88449,0.8240000000000001
33696,24985,0.8480000000000001
33759,1269,0.828
33759,21450,0.86
33831,24783,0.88
33831,75540,1.0
33835,35600,0.848
33835,42800,0.8440000000000001
33835,42948,0.8080000000000002
33835,55673,1.0
33925,47118,1.0
33947,35600,0.848
33947,42800,0.8440000000000001
33947,42948,0.8080000000000002
33947,55673,1.0
33956,15376,1.0
33956,53046,0.8440000000000001
33956,56170,0.8440000000000001
33956,73538,0.84
34020,77469,0.82
34126,13813,1.0
34240,77469,0.82
34299,3183,0.8160000000000001
34299,35898,0.9280000000000002
34299,90684,0.816
34566,77317,0.8759999999999999
34590,26913,0.848
34592,25305,0.9359999999999999
34592,59360,0.812
34592,73984,0.852
34592,79940,1.0
34663,5362,0.92
34676,2364,0.852
34676,16770,0.852
34676,21898,0.8440000000000001
34676,25156,0.8440000000000001
34676,25221,0.8360000000000001
34676,29202,1.0
34676,33817,0.8360000000000001
34676,36395,0.852
34676,61288,0.8440000000000001
34676,63786,0.8360000000000001
34676,70773,0.8440000000000001
34676,91015,0.852
34731,77796,1.0
34889,56082,0.816
34916,88581,0.884
34987,28648,0.956
35020,15376,1.0
35020,53046,0.8440000000000001
35020,56170,0.8440000000000001
35020,73538,0.8280000000000001
35234,6694,0.9480000000000001
35405,6553,0.868
35405,7385,0.8079999999999999
35405,35600,0.8080000000000002
35405,42800,0.8440000000000001
35405,42948,0.8080000000000002
35405,55673,0.8880000000000001
35464,78860,0.804
35464,81509,1.0
36036,14526,0.848
36036,51964,0.812
36098,6694,0.996
36107,78860,0.804
36107,81509,1.0
36312,21450,0.884
36312,62078,0.9440000000000001
36316,20038,0.92
36436,14526,0.848
36436,51964,0.812
36494,15376,0.8759999999999999
36494,32411,0.8440000000000001
36494,53046,0.8440000000000001
36494,56170,0.8440000000000001
36494,73538,0.8240000000000001
36537,17696,0.8440000000000001
36732,45841,0.8320000000000001
36732,88497,0.892
36791,59971,1.0
36818,45165,0.9079999999999999
36935,15172,0.872
36935,49726,1.0
36992,80004,0.9159999999999999
37053,60123,0.816
37053,60263,0.8240000000000001
37113,65780,0.828
37357,44859,0.9480000000000001
37428,12470,0.868
37436,74736,0.82
37525,37289,0.82
37525,93896,0.812
37542,37289,0.856
37542,93896,0.812
37574,14239,0.96
37676,85263,0.812
37695,85263,1.0
37700,80004,0.9159999999999999
37812,21450,0.884
37812,62078,0.9440000000000001
38013,60885,0.828
38051,37733,0.86
38051,58692,1.0
38089,18767,0.8959999999999999
38089,84873,0.992
38140,65780,0.828
38170,72052,0.96
38348,39728,0.8280000000000001
38473,37289,0.856
38473,93896,0.812
38488,30686,0.9359999999999999
38548,2364,0.852
38548,16770,0.852
38548,21898,0.8440000000000001
38548,25156,0.8440000000000001
38548,25221,0.8360000000000001
38548,29202,1.0
38548,33817,0.8360000000000001
38548,36395,0.852
38548,61288,0.8440000000000001
38548,63786,0.8360000000000001
38548,70773,0.8440000000000001
38548,91015,0.852
38641,93051,1.0
38668,35903,0.856
38668,76020,0.932
38676,70425,1.0
38808,55812,1.0
38837,55812,0.9840000000000001
38896,44202,1.0
28487,7961,0.836
28487,41710,0.86
28487,59834,0.8240000000000001
28487,64814,0.884
28487,80592,0.828
28488,7961,0.836
28488,41710,0.8240000000000001
28488,59834,0.8240000000000001
28488,64814,0.86
28488,80592,0.812
28542,4116,1.0
28843,54152,0.8759999999999999
28843,58972,0.8160000000000001
28928,78670,0.8640000000000001
29076,4062,1.0
29351,2808,1.0
29449,18645,0.9079999999999999
29449,58972,0.856
29454,42043,0.812
29456,42043,0.8080000000000002
29643,7961,0.836
29643,41710,0.8240000000000001
29643,59834,0.8240000000000001
29643,64814,0.848
29643,80592,0.812
29741,93072,0.828
29797,64312,1.0
29891,2808,0.972
29989,50323,0.9680000000000001
29990,50323,0.9680000000000001
29991,34636,0.8280000000000001
29997,7823,0.86
29997,63333,0.8440000000000001
29997,69261,0.9520000000000001
29997,84406,0.8280000000000001
30166,58823,1.0
30167,58823,1.0
30343,72371,0.82
30386,60799,1.0
30460,12653,0.812
30460,77295,0.8320000000000001
30462,12653,0.8240000000000001
30462,77295,0.836
30619,50893,1.0
30797,72371,1.0
30864,63464,1.0
31175,49210,0.804
31276,87455,0.8760000000000001
31294,72371,0.9880000000000001
31322,64312,1.0
31393,50893,1.0
31396,54152,0.8759999999999999
31396,58972,0.8160000000000001
31489,35529,0.892
31605,42043,0.852
31606,42043,0.868
31606,65536,0.828
31763,56708,0.812
31880,30731,0.912
31889,88356,1.0
32530,88356,1.0
32544,80984,0.836
32579,53772,0.828
32592,6482,0.816
32592,37985,1.0
32594,89575,1.0
32713,4392,1.0
32969,4392,1.0
33026,14552,1.0
33108,53772,0.828
33183,28493,0.8240000000000001
33183,40713,0.8440000000000001
33183,45498,0.852
33183,59189,0.8440000000000001
33788,45944,1.0
34401,82297,1.0
34536,45944,1.0
34689,12539,0.94
34977,54152,0.8759999999999999
35008,41802,1.0
35581,14162,0.9880000000000001
35636,89845,1.0
35661,54152,0.8480000000000001
35661,58972,0.8160000000000001
35706,14162,0.96
35789,36460,0.892
35789,45337,0.816
35789,86025,0.84
35789,90145,0.816
35845,40713,0.9159999999999999
35871,40713,0.9159999999999999
35926,12539,0.94
35976,41802,1.0
36101,7917,0.932
36200,28493,0.88
36431,55240,0.8079999999999999
36602,28493,0.88
36664,89845,1.0
36907,2217,0.84
36907,33851,0.82
36907,36460,0.8280000000000001
36907,45337,0.8440000000000001
36907,59382,0.84
36907,68707,0.892
36907,90145,0.8440000000000001
37022,26069,0.9440000000000001
37026,26069,1.0
37433,1593,0.816
37511,1593,0.816
37511,24442,0.804
37703,59189,1.0
38214,3564,0.82
38220,3564,0.912
38255,29922,1.0
38561,77904,1.0
38866,45498,0.8320000000000001
38866,59203,1.0
28387,28360,0.812
28387,32275,0.852
28387,35666,0.836
28387,35749,0.804
28387,45646,0.8280000000000001
28387,55666,0.8440000000000001
28387,61895,0.8280000000000001
28387,68118,0.8680000000000001
28387,69014,0.8440000000000001
28387,73769,0.852
28387,80973,0.8280000000000001
28387,93392,0.856
28387,93584,0.812
28387,94127,0.9079999999999999
28658,44395,0.848
28680,28360,0.8440000000000001
28680,32275,0.852
28680,35666,0.836
28680,45646,0.8240000000000001
28680,55666,0.84
28680,61895,0.8240000000000001
28680,68118,0.9080000000000001
28680,69014,0.84
28680,73769,0.852
28680,80973,0.8240000000000001
28680,93584,0.8079999999999999
28680,94127,0.9079999999999999
28783,3253,1.0
28783,58512,0.804
28851,91242,0.892
28903,89364,0.8880000000000001
28903,89946,0.924
28957,3287,0.94
28980,6072,0.8080000000000002
28980,19273,0.816
28980,28295,0.852
28980,80803,0.956
29105,44719,0.9280000000000002
29235,11546,0.804
29314,30012,0.88
29338,19718,0.9
29369,79137,0.804
29441,73083,1.0
29483,32423,0.8320000000000001
29583,11955,1.0
29707,73083,1.0
29917,6072,0.8080000000000002
29917,19273,0.816
29917,28295,0.852
29917,80803,0.956
30000,40883,0.9480000000000001
30001,40883,0.9480000000000001
30040,42530,0.868
30126,3044,0.8640000000000001
30126,27851,0.8959999999999999
30201,13950,0.932
30213,35681,0.92
30288,9861,0.812
30296,14930,1.0
30297,37413,0.868
30297,89364,0.884
30309,44719,1.0
30321,40340,1.0
30321,45689,0.884
30321,90861,0.856
30332,28360,0.812
30332,68118,0.852
30332,94127,0.8320000000000001
30376,40340,1.0
30376,45689,0.884
30376,90861,0.856
30387,13950,1.0
30448,27323,0.8160000000000001
30448,32419,0.8440000000000001
30448,49900,0.828
30448,50183,0.848
30448,53624,0.812
30448,55666,0.848
30622,74377,0.8320000000000001
30668,2842,1.0
30696,18800,0.86
30696,80642,1.0
30727,47593,0.848
30742,94221,0.9640000000000001
30743,94221,0.9640000000000001
30765,52356,0.8240000000000001
30772,52356,0.8240000000000001
30886,13937,1.0
30886,45689,0.8079999999999999
30996,39255,1.0
31005,62629,1.0
31037,9861,0.912
31053,28585,0.804
31053,48379,0.848
31053,74824,1.0
31054,27889,0.8280000000000001
31054,80439,0.812
31063,53358,0.804
31066,53637,0.848
31066,57212,1.0
31071,18800,0.86
31071,80642,1.0
31091,7681,0.812
31130,52356,0.8240000000000001
31132,52356,0.8240000000000001
31172,35692,0.8240000000000001
31200,2842,1.0
31263,7681,0.812
31288,7338,1.0
31311,26095,0.812
31311,32170,0.904
31311,48360,0.8240000000000001
31311,84154,0.86
31342,57327,0.812
31364,53637,0.848
31364,57212,1.0
31402,3044,0.8959999999999999
31402,27851,0.8959999999999999
31417,49900,0.836
31417,50183,0.828
31451,62629,1.0
31454,35692,0.8240000000000001
31494,33884,0.8320000000000001
31494,64332,0.804
31561,35681,0.92
31600,23628,1.0
31638,37413,0.868
31638,89364,0.884
31707,49900,0.836
31707,50183,0.828
31859,32218,1.0
31908,52356,0.8240000000000001
31910,52356,0.8240000000000001
31929,47593,0.8320000000000001
31933,13937,1.0
31933,45689,0.8079999999999999
32041,32218,1.0
32070,3044,0.836
32070,27323,0.804
32070,39627,0.84
32070,46679,0.8759999999999999
32070,49900,0.828
32070,50183,1.0
32070,74043,0.86
32070,89023,0.8320000000000001
32321,7338,1.0
32345,29001,0.8240000000000001
32385,47535,1.0
32385,78153,0.8240000000000001
32461,50529,0.904
32566,87229,1.0
32569,47535,1.0
32569,78153,0.8240000000000001
32913,47200,0.828
32913,53358,0.84
32945,23628,1.0
32970,75982,0.82
32973,75982,0.82
33092,50529,0.904
33105,52356,0.8240000000000001
33111,52356,0.8240000000000001
33147,52356,0.8240000000000001
33152,52356,0.8240000000000001
33256,37374,0.8080000000000002
33257,37374,0.8080000000000002
33406,85560,0.828
33448,28585,1.0
33484,72510,1.0
33527,3287,0.812
33527,6072,0.8440000000000001
33527,12484,0.8240000000000001
33527,19273,0.812
33527,28295,0.868
33527,73052,0.804
33527,80803,0.8880000000000001
33527,88058,0.804
33624,28585,0.804
33624,48379,0.848
33624,74824,1.0
33739,22736,0.8160000000000001
33739,26742,0.8280000000000001
33739,27323,0.816
33739,68228,0.8080000000000002
33739,78082,0.84
33739,87934,1.0
33785,22736,0.8160000000000001
33785,26742,0.8280000000000001
33785,27323,0.816
33785,68228,0.8080000000000002
33785,78082,0.84
33785,87934,1.0
33894,44315,1.0
33937,87229,0.9480000000000001
33949,47572,0.804
33949,54374,1.0
33954,19643,0.92
34026,59960,1.0
34056,57620,1.0
34179,27353,0.828
34185,6279,0.812
34373,83412,0.8079999999999999
34423,88106,1.0
34424,88106,1.0
34485,60989,1.0
34509,9488,0.98
34623,48007,0.92
34754,85560,0.828
34891,20484,0.82
34891,38495,0.84
35266,59960,1.0
35291,57620,1.0
35342,94221,0.8080000000000002
35349,94221,0.8080000000000002
35378,84266,1.0
35401,67207,0.8240000000000001
35530,48360,0.856
35530,84154,0.892
35672,60989,1.0
35791,48007,0.92
35965,68118,0.8080000000000002
35965,75085,0.9080000000000001
35965,94127,0.84
36039,61673,0.9440000000000001
36079,47200,0.812
36079,53358,0.8240000000000001
36265,84266,1.0
36281,81776,0.932
36297,90051,0.932
36302,52200,1.0
36350,3979,1.0
36404,15103,0.956
36458,93458,0.9440000000000001
36497,93458,0.9440000000000001
36592,54064,0.828
36593,18235,1.0
36733,38647,0.912
36804,48360,0.856
36804,84154,0.892
37055,70576,0.848
37275,52200,1.0
37314,66533,0.812
37314,69178,0.812
37314,70576,0.868
37367,90051,0.932
37510,29034,0.8360000000000001
37510,79137,0.82
37510,81558,0.872
37950,29034,0.8360000000000001
37950,79137,0.8240000000000001
37950,81558,0.9280000000000002
37995,18205,0.9680000000000001
37995,31798,1.0
37995,56699,0.848
37995,75286,0.836
38059,497,1.0
38112,38647,0.912
38292,2041,0.9880000000000001
38439,497,1.0
38462,10497,0.8240000000000001
38646,2041,1.0
38773,42058,0.96
38842,13456,1.0
38862,48598,1.0
38942,42026,0.828
28506,67061,1.0
28516,62033,0.852
28525,62895,1.0
28634,79158,1.0
28635,79158,1.0
28727,86358,1.0
28764,62895,1.0
28846,64512,1.0
28877,63107,0.9640000000000001
28981,21583,1.0
28982,21583,1.0
29018,67319,1.0
29019,67319,0.8440000000000001
29360,71073,0.8959999999999999
29360,85096,0.8080000000000002
29380,61795,0.932
29466,84580,0.8320000000000001
29508,30456,0.828
29509,30456,0.828
29604,85429,0.828
30189,2090,0.804
30370,32085,1.0
30941,85429,0.828
31036,92976,1.0
31193,22740,1.0
31300,25659,1.0
31352,92976,1.0
31425,53184,1.0
32072,24789,1.0
32373,60507,0.924
32443,39354,1.0
32446,52988,0.9159999999999999
32525,754,1.0
32659,25659,1.0
32760,27045,0.9440000000000001
32771,53184,1.0
