left,right,confidence_score
39220,83993,0.816
39299,52171,0.86
39506,3305,0.848
39667,30940,0.852
39876,26567,0.836
39877,26567,0.836
40038,35336,0.932
40211,38128,0.8440000000000001
40312,66563,0.856
40631,51022,0.816
40668,59931,1.0
41270,50909,0.848
41270,51877,0.82
41270,52171,0.848
41270,67638,0.8240000000000001
41780,75063,0.956
42043,31209,0.904
42424,68308,0.92
42450,51022,0.812
42495,3305,0.848
42885,38493,1.0
43672,31075,1.0
43674,83993,1.0
43707,20859,1.0
43780,81619,1.0
43954,66563,1.0
43961,77739,0.828
44015,72092,0.992
44073,4997,1.0
44074,4997,1.0
44409,38493,1.0
44495,23363,0.812
45720,83993,1.0
45725,20859,1.0
45851,36597,0.932
46059,90223,0.86
46306,8372,0.8959999999999999
46306,18422,0.8080000000000002
46306,24128,0.8640000000000001
46306,25115,0.8640000000000001
46306,47299,0.82
46306,87643,0.828
46589,24691,0.956
46657,24691,1.0
46811,45016,0.828
46824,60031,0.8079999999999999
47019,77958,0.956
47098,17043,0.9640000000000001
47099,17043,0.9640000000000001
47535,90223,0.8959999999999999
47662,57462,1.0
47781,29120,0.8440000000000001
47909,28956,0.816
48618,23363,0.9480000000000001
48998,26567,0.804
49520,3363,0.992
49564,26567,0.84
49635,57462,1.0
49750,54769,0.9280000000000002
49753,80708,0.9359999999999999
49894,12568,0.94
49918,41649,0.8160000000000001
50194,32168,0.868
50195,32168,0.8160000000000001
50263,51877,0.82
50263,52171,0.86
50394,33740,0.94
50394,45016,0.8240000000000001
50423,19791,1.0
50423,60342,0.8079999999999999
50529,2188,1.0
50725,5211,0.932
51150,21920,0.812
51544,26567,0.8480000000000001
51593,41649,0.8160000000000001
51726,84808,1.0
51768,7937,0.9520000000000001
51984,69345,1.0
52298,5211,0.932
52359,21920,0.8080000000000002
52511,51877,0.816
52511,52171,0.86
52577,56161,1.0
52791,2314,0.816
53432,1900,0.8320000000000001
53432,35030,0.9880000000000001
53716,66550,1.0
53883,41238,1.0
53900,29490,1.0
54231,66550,1.0
54304,77962,0.932
54306,77962,0.92
54321,64355,1.0
54493,41238,1.0
38979,48800,0.956
39251,38470,1.0
39254,38470,1.0
39417,31576,0.868
39454,77633,0.868
39800,31576,0.8240000000000001
39941,72747,0.8079999999999999
39962,38686,1.0
39962,75851,0.8079999999999999
40047,92597,0.884
40272,30879,0.884
40583,23049,0.927
40719,86602,0.932
40942,72096,0.836
41204,58765,0.828
41213,58765,0.828
41814,21976,0.9880000000000001
41853,11787,0.98
41854,11787,1.0
41898,72227,0.848
41927,71718,0.8029999999999999
42143,682,0.8160000000000001
42143,30860,0.811
42143,83569,0.811
42143,92028,0.8160000000000001
42197,76998,0.812
42197,80854,1.0
42677,682,0.8160000000000001
42677,22918,0.828
42677,51399,0.868
42677,53223,0.828
42677,63160,0.82
42677,67387,0.8080000000000002
42677,83217,0.812
42677,92028,0.8160000000000001
42886,75538,0.816
43106,73853,0.8240000000000001
43635,72227,0.8240000000000001
43750,55696,1.0
43905,64737,0.927
43918,82793,0.92
43970,22918,0.828
43970,51399,0.812
43970,83217,0.812
43994,80854,0.9520000000000001
44039,22918,0.828
44039,51399,0.812
44039,65877,0.807
44039,83217,0.828
44219,14322,1.0
44260,56369,0.848
44311,37918,1.0
44385,94102,1.0
44573,14322,0.8240000000000001
44800,72227,0.82
44997,76835,0.868
45185,4168,1.0
45675,94102,1.0
45836,61293,0.84
46394,56369,0.848
46438,37918,1.0
46663,26555,0.8160000000000001
46775,70905,0.816
47089,61293,0.856
47181,41339,0.927
47405,8471,1.0
48765,15964,0.972
48825,16740,0.812
48837,70905,0.816
49349,15964,0.972
49904,782,0.92
49904,48717,0.8080000000000002
49904,86856,0.8320000000000001
49904,90524,0.8160000000000001
50286,48096,0.88
50365,57056,0.812
50371,57056,0.812
50442,39106,1.0
50462,78540,0.888
50482,26555,0.8440000000000001
50579,70905,0.82
51129,23845,1.0
51261,26555,0.8440000000000001
51268,26555,0.8440000000000001
51460,63324,0.927
51618,21799,0.8270000000000001
51881,78540,0.888
52679,27434,1.0
52854,48096,0.88
53320,27434,1.0
53335,41053,0.828
53335,48717,0.8080000000000002
53335,51907,0.8640000000000001
53335,59302,0.927
53335,81873,0.812
53579,57874,0.812
53670,69001,0.909
38987,36082,1.0
39037,27776,0.9520000000000001
39439,36082,0.972
39490,92836,0.8959999999999999
39499,74423,0.804
39513,57698,1.0
39858,60271,1.0
39860,60271,1.0
40062,76725,1.0
40092,50916,1.0
40411,9885,1.0
40469,92694,0.976
40744,53782,1.0
40880,76725,1.0
41397,4802,1.0
41442,64929,0.956
41477,45885,0.8160000000000001
41477,70356,1.0
41529,5032,0.924
41655,5032,0.924
41756,91432,1.0
42092,93263,0.8240000000000001
42298,23418,1.0
42337,6662,1.0
42464,78142,1.0
42465,78142,1.0
42619,64362,0.9440000000000001
42646,78356,0.94
42718,6662,1.0
42729,38032,0.8079999999999999
43114,15377,0.904
43607,58228,1.0
43667,58228,1.0
44100,26616,0.8079999999999999
44303,26616,0.8079999999999999
44375,55570,1.0
44617,89791,1.0
44624,89791,0.9520000000000001
44706,9885,1.0
44706,28631,0.848
45116,4802,1.0
45248,30077,1.0
45366,44144,0.972
45452,1471,0.9520000000000001
47017,55570,1.0
48010,67962,0.9840000000000001
48031,72757,0.856
48295,45143,1.0
48317,38326,1.0
48341,38326,0.996
48349,67962,1.0
48875,90250,0.82
49080,45143,1.0
50956,29030,0.9
51609,89569,1.0
51740,63172,1.0
51746,63172,1.0
51762,31922,0.8160000000000001
52241,77690,1.0
53054,75772,0.8360000000000001
53544,31922,0.804
39378,40705,1.0
39662,77849,0.909
39810,11675,0.899
39813,17562,0.82
39813,31707,0.816
39813,46578,0.8480000000000001
