left,right,confidence_score
54567,91969,0.84
54597,32813,0.82
54597,72850,1.0
54597,82932,0.8079999999999999
54630,46675,0.848
54631,46675,0.848
54783,91216,0.8440000000000001
54788,91216,0.8440000000000001
54800,75685,0.8240000000000001
54811,73468,1.0
54813,73468,1.0
54840,79671,0.82
54893,6964,0.9
54893,74576,0.8280000000000001
54893,82214,0.816
55020,54898,0.828
55035,831,0.848
55035,76257,0.836
55061,28331,1.0
55202,54898,0.868
55310,47571,0.828
55414,45649,0.96
55552,831,0.82
55822,40203,1.0
55849,7282,1.0
55963,72370,0.816
55983,13315,0.82
56007,13927,0.8640000000000001
56068,6964,0.88
56068,74576,0.8280000000000001
56068,82214,0.86
56097,36067,0.8079999999999999
56097,79995,0.872
56189,837,0.8759999999999999
56189,3101,0.88
56189,12601,0.8440000000000001
56189,22386,0.868
56189,36980,0.852
56189,72906,0.816
56189,75810,0.812
56189,86081,0.812
56286,837,0.812
56288,89319,0.868
56288,92121,0.82
56300,77930,0.868
56337,6543,0.86
56337,8515,0.8160000000000001
56337,15357,0.852
56337,25542,0.804
56337,25802,0.8320000000000001
56337,26127,0.804
56337,28616,0.8640000000000001
56337,33072,0.8640000000000001
56337,36678,0.8240000000000001
56337,46681,0.856
56337,66611,0.804
56337,74173,0.872
56337,75164,0.804
56337,75881,0.812
56337,79545,0.804
56362,92376,1.0
56370,46669,0.9680000000000001
56371,46669,0.9680000000000001
56508,7282,1.0
56691,82276,0.8440000000000001
56773,837,0.8759999999999999
56773,3101,0.88
56773,12601,0.8440000000000001
56773,22386,0.868
56773,36980,0.852
56773,72906,0.816
56773,75810,0.812
56773,86081,0.812
56830,92376,0.9280000000000002
56926,77930,0.9840000000000001
57060,3101,0.828
57060,19728,0.8160000000000001
57060,34406,0.8080000000000002
57093,73468,0.816
57139,91880,0.86
57202,12072,1.0
57202,27752,0.956
57202,37321,0.804
57205,860,0.82
57205,12072,1.0
57205,27752,0.96
57205,37321,0.8079999999999999
57209,18436,0.8440000000000001
57209,91187,0.96
57287,6964,0.88
57287,74576,0.8280000000000001
57474,28331,1.0
57583,4003,0.8320000000000001
57653,6543,0.8079999999999999
57653,8515,0.8640000000000001
57653,25802,0.8080000000000002
57653,46681,0.8480000000000001
57653,63533,0.8240000000000001
57653,66611,0.852
57653,74173,0.828
57653,75881,0.8760000000000001
57653,85097,0.852
57662,22062,0.804
57662,91507,0.804
57795,2122,0.828
57795,14955,0.8640000000000001
57795,42516,0.804
57795,50859,0.828
57795,59440,0.804
57795,76991,0.812
57796,2122,0.828
57796,14955,0.8640000000000001
57796,42516,0.804
57796,50859,0.828
57796,59440,0.804
57796,76991,0.812
57811,72421,1.0
57820,21902,1.0
57951,31968,0.82
58040,17483,0.8240000000000001
58064,54801,1.0
58117,4003,0.804
58140,3101,0.836
58140,12601,0.8440000000000001
58140,36980,0.812
58140,75810,0.812
58140,91507,0.804
58463,17229,1.0
58485,41413,1.0
58492,41413,1.0
58534,45728,0.804
58586,45728,0.804
58625,6543,0.8079999999999999
58625,8515,0.8640000000000001
58625,25802,0.8080000000000002
58625,46681,0.8480000000000001
58625,63533,0.8240000000000001
58625,66611,0.852
58625,74173,0.828
58625,75881,0.8760000000000001
58625,85097,0.852
58634,15934,0.856
58664,66500,1.0
58802,17229,1.0
59099,6543,0.836
59099,8515,0.8080000000000002
59099,11312,0.8759999999999999
59099,15357,0.8080000000000002
59099,19779,0.8959999999999999
59099,25542,0.828
59099,25802,0.8440000000000001
59099,26127,0.836
59099,26820,0.8759999999999999
59099,36678,0.836
59099,46681,0.884
59099,74173,0.8640000000000001
59099,75164,1.0
59099,75881,0.8080000000000002
59099,89039,0.816
59307,30070,0.856
59307,40839,0.9280000000000002
59312,45036,0.856
59312,57158,0.86
59324,62917,0.816
59351,72421,1.0
59355,6021,1.0
59373,3242,0.9159999999999999
59373,7335,0.9159999999999999
59373,31383,0.84
59373,64406,0.9159999999999999
59373,71198,0.852
59373,79463,0.9159999999999999
59389,22062,0.8280000000000001
59400,72540,0.92
59403,35769,0.804
59578,85479,1.0
59579,85479,1.0
59739,88124,1.0
59740,88124,1.0
59775,58767,0.82
59789,5295,1.0
59815,22062,0.8240000000000001
59880,13254,1.0
59880,21179,0.82
59880,28429,0.812
59880,42612,0.8440000000000001
59880,60152,0.8240000000000001
59947,11117,1.0
59947,26234,0.872
59947,78968,0.8080000000000002
59993,72370,0.84
60261,6543,0.8240000000000001
60261,8515,0.8760000000000001
60261,25542,0.8480000000000001
60261,25802,0.816
60261,36678,0.8080000000000002
60261,46681,0.856
60261,66611,0.8680000000000001
60261,74173,0.8360000000000001
60261,75164,0.804
60261,75881,0.956
60261,77526,0.8440000000000001
60307,4060,0.8240000000000001
60307,60438,0.8440000000000001
60355,62917,0.816
60356,65223,0.848
60414,33426,1.0
60489,33426,1.0
60531,62512,1.0
60649,66865,1.0
60654,57939,0.8240000000000001
60654,79342,1.0
60655,57939,0.804
60655,79342,1.0
60790,56324,1.0
60792,32136,0.848
60836,75685,0.8240000000000001
60965,24669,0.852
60965,45058,0.812
61128,82988,0.9840000000000001
61130,82988,1.0
61209,8626,0.836
61209,86585,0.9159999999999999
61210,32136,0.848
61316,7290,1.0
61316,41610,0.9159999999999999
61316,83481,0.8360000000000001
61358,73385,0.932
61576,16202,1.0
61623,22771,0.8959999999999999
61639,6964,0.9
61639,74576,0.8280000000000001
61639,82214,0.816
61665,46360,0.8759999999999999
61673,75881,0.8759999999999999
61678,46360,0.86
61684,13130,0.924
61684,18705,1.0
61684,61405,0.8440000000000001
61684,81456,0.82
61723,51603,1.0
61723,80932,0.804
61856,14712,1.0
61856,72370,0.8240000000000001
62101,53242,0.956
62103,53242,0.956
62248,15934,0.856
62250,80932,0.8440000000000001
62269,66500,1.0
62405,15934,0.888
62405,85778,0.88
62513,59608,0.8280000000000001
62513,68229,0.924
62585,51498,0.9440000000000001
62642,3101,0.848
62642,12601,0.8440000000000001
62642,36980,0.812
62642,75810,0.812
62642,91507,0.812
62671,22771,0.8959999999999999
62672,67186,1.0
62683,60202,1.0
62880,60202,1.0
62898,37126,1.0
62903,2122,0.828
62903,3101,0.804
62903,14955,0.8640000000000001
62903,29491,1.0
62903,39472,0.82
62903,42516,0.804
62903,50859,0.828
62903,59440,0.804
62903,76991,0.812
63044,30070,0.856
63044,40839,0.9280000000000002
63094,3242,0.9159999999999999
63094,7335,0.9159999999999999
63094,31383,0.84
63094,64406,0.9159999999999999
63094,71198,0.852
63094,79463,0.9159999999999999
63175,14727,1.0
63215,14712,1.0
63215,72370,0.8240000000000001
63495,6543,0.8440000000000001
63495,8515,0.8080000000000002
63495,15357,0.86
63495,25802,0.8080000000000002
63495,33072,0.8640000000000001
63495,36678,0.812
63495,46681,0.8480000000000001
63495,57939,0.8240000000000001
63495,74173,0.848
63495,75164,0.804
63495,77526,0.804
63495,79545,0.84
63495,83465,0.816
63719,87547,0.852
63720,87547,0.956
63873,19333,0.8240000000000001
63873,32813,0.84
63873,90002,0.812
63920,3101,0.8320000000000001
63920,12601,0.8440000000000001
63920,36980,0.812
63920,75810,0.812
64116,2122,0.828
64116,3101,0.804
64116,14955,0.8640000000000001
64116,29491,1.0
64116,39472,0.82
64116,42516,0.804
64116,50859,0.828
64116,59440,0.804
64116,76991,0.812
64131,14727,1.0
64142,8716,0.852
64142,27869,1.0
64190,58952,1.0
64216,83272,0.9520000000000001
64272,13315,0.82
64360,45361,1.0
64360,58179,0.804
64543,25729,1.0
64544,25729,1.0
64775,8716,0.852
64775,27869,1.0
64821,6914,0.8280000000000001
64821,7168,0.804
64821,14391,0.8280000000000001
64821,18268,0.92
64821,33176,0.86
64821,81791,0.812
64873,65223,0.848
64905,76346,0.94
65051,18496,0.804
65059,51498,0.9440000000000001
65067,86981,1.0
65098,70242,1.0
65124,73211,0.972
65290,21755,0.836
65290,54394,1.0
65543,13927,0.8640000000000001
65544,13927,0.8640000000000001
65548,36067,0.828
65548,77834,0.9480000000000001
65610,45321,0.8240000000000001
65626,93684,1.0
65630,93684,1.0
65702,64235,0.8240000000000001
65773,46384,0.8080000000000002
65834,38023,1.0
65846,41559,0.9440000000000001
65863,59608,0.8280000000000001
65863,68229,1.0
65892,20139,0.812
66039,17591,1.0
66039,85437,0.812
66040,4003,0.84
66103,3242,0.8320000000000001
66103,7335,0.8320000000000001
66103,15458,0.828
66103,31383,0.84
66103,64406,0.8320000000000001
66103,79463,0.8320000000000001
66119,62512,1.0
66150,21843,1.0
66414,55221,1.0
66415,55221,1.0
66515,66145,0.836
66527,38048,0.92
66532,27422,0.812
66588,38023,1.0
66620,79027,1.0
66621,73211,0.972
66692,86981,1.0
66728,78442,0.8759999999999999
66736,78442,0.8759999999999999
66768,8626,0.836
66768,86585,0.9159999999999999
66892,82234,1.0
66948,6021,0.8240000000000001
67075,79027,1.0
67177,14050,0.84
67177,60438,0.82
67630,4591,0.868
67630,85796,0.812
67704,73211,0.8280000000000001
67823,6964,0.804
67823,17483,0.852
67823,78442,1.0
67882,30070,0.836
68113,16202,1.0
68378,3242,0.848
68378,31383,0.84
68378,64406,1.0
68522,26620,0.812
68595,31467,1.0
68595,38342,0.82
68627,70242,0.82
68663,26335,0.92
68856,2401,1.0
68856,67241,0.8080000000000002
68857,45361,1.0
68857,58179,0.804
68872,54394,0.904
69172,6914,0.8280000000000001
69172,7168,0.804
69172,14391,0.8440000000000001
69172,18268,0.92
69172,33176,0.86
69172,46360,0.804
69172,60798,0.804
69172,65245,0.804
69172,81791,0.8440000000000001
69172,89527,0.804
69278,86017,0.82
69279,76346,0.94
69289,1809,0.892
