left,right,confidence_score
86981,83445,0.932
86982,83445,0.9520000000000001
86996,65304,1.0
87011,20545,1.0
87024,1957,1.0
87033,94318,0.812
87046,1651,0.86
87046,14767,0.812
87046,52991,0.8480000000000001
87063,29108,0.9520000000000001
87063,94486,0.872
87079,76590,0.852
87100,39422,0.8440000000000001
87100,85025,0.804
87181,73694,1.0
87182,73694,1.0
87218,53041,1.0
87234,67595,1.0
87235,67595,0.956
87268,49879,1.0
87269,49879,1.0
87297,11916,1.0
87482,43252,0.8240000000000001
87484,54678,0.8080000000000002
87505,59999,1.0
87517,27848,0.9480000000000001
87532,42976,1.0
87616,29108,0.9520000000000001
87616,94486,0.872
87678,42961,0.8240000000000001
87678,47016,1.0
87696,25822,1.0
87760,42655,0.82
87760,91059,0.82
87797,8010,1.0
87935,84895,1.0
87936,84895,1.0
87943,73792,0.904
87997,55702,0.956
87998,55702,1.0
88052,25169,0.884
88052,40234,0.9440000000000001
88052,48694,0.804
88052,55947,0.8680000000000001
88052,84540,0.852
88057,21114,1.0
88173,7971,1.0
88216,79729,0.804
88259,30312,0.812
88266,62854,0.924
88267,62854,0.924
88291,20545,1.0
88310,70224,1.0
88325,76690,1.0
88326,76690,1.0
88401,39351,0.8240000000000001
88411,39422,0.8440000000000001
88411,85025,0.804
88460,21372,1.0
88521,71405,1.0
88522,71405,0.848
88524,13695,1.0
88524,21591,0.8240000000000001
88524,31346,0.816
88524,33273,0.84
88524,59598,0.848
88524,64815,0.82
88534,53041,1.0
88541,79411,0.888
88564,79411,0.9
88639,75594,1.0
88657,23907,1.0
88686,30412,1.0
88688,30412,1.0
88713,27935,0.9840000000000001
88727,42961,0.8240000000000001
88727,47016,1.0
88733,21372,1.0
88771,24468,0.98
88800,1957,1.0
88800,89211,0.8080000000000002
88839,3612,1.0
88847,20348,1.0
88892,69540,0.868
88925,75594,1.0
88972,66246,1.0
89024,77495,1.0
89055,56731,0.8079999999999999
89091,37656,0.8079999999999999
89197,77021,1.0
89315,18453,1.0
89315,22933,0.84
89315,64206,0.8240000000000001
89315,71499,0.82
89340,65624,0.88
89392,3612,1.0
89402,73805,1.0
89403,6328,1.0
89403,15467,0.828
89436,42556,0.868
89445,21114,1.0
89478,86550,1.0
89510,7839,1.0
89541,25599,0.9079999999999999
89541,49022,0.868
89542,25599,0.9079999999999999
89542,49022,0.868
89695,76096,1.0
89712,22110,0.9840000000000001
89791,44122,1.0
89799,29793,0.868
89799,52991,0.8240000000000001
89809,36825,0.804
89814,44122,1.0
89852,21591,0.932
89881,65626,0.98
89886,36825,0.82
89896,59999,1.0
89953,13695,0.9159999999999999
89978,45625,1.0
89979,74901,0.812
89983,70623,1.0
89994,53725,0.8240000000000001
90017,7839,1.0
90072,50559,0.868
90155,39351,0.8240000000000001
90234,77021,1.0
90310,15591,0.8640000000000001
90341,39564,0.96
90403,86550,1.0
90436,66246,1.0
90632,38299,1.0
90692,65626,0.98
90713,52763,0.868
90738,56520,0.848
90789,27782,0.9079999999999999
90814,54598,0.804
90818,18453,1.0
90818,22933,0.812
90843,5480,0.9520000000000001
90843,46372,0.8759999999999999
90843,57574,0.904
90847,65624,0.88
90890,15467,0.8079999999999999
90890,40896,0.84
90890,65972,0.9520000000000001
90902,49785,0.8160000000000001
90934,8322,1.0
90951,435,0.8240000000000001
90951,25169,0.8320000000000001
90951,55947,0.812
90951,76328,0.84
90951,84540,0.856
90951,86327,0.8320000000000001
91033,59715,0.8079999999999999
91121,3684,1.0
91195,68743,1.0
91240,1467,1.0
91273,79815,0.98
91280,5480,0.8440000000000001
91280,46372,0.8440000000000001
91280,49547,0.872
91280,57574,0.872
91320,24525,0.9680000000000001
91377,19651,1.0
91380,1467,1.0
91394,57773,1.0
91435,44789,0.96
91516,50527,1.0
91584,65626,0.804
91584,79815,0.852
91635,50559,0.868
91712,23907,1.0
91744,68982,0.816
91827,72493,0.828
91840,54598,0.804
91846,53725,0.8240000000000001
91907,9942,1.0
91949,61298,0.816
91949,83614,0.804
91951,61298,0.816
91951,83614,0.804
92064,92930,0.828
92110,64130,0.88
92130,56520,0.848
92144,41233,0.96
92173,59056,1.0
92174,39351,0.8240000000000001
92174,59056,1.0
92207,21591,0.8240000000000001
92207,22428,0.9159999999999999
92207,33273,0.804
92207,49228,0.836
92207,51155,0.848
92207,59598,0.848
92240,5773,1.0
92240,33923,0.8080000000000002
92283,52763,0.868
92429,10963,0.82
92429,11680,0.836
92429,14187,0.856
92429,27798,0.8759999999999999
92429,49228,0.836
92429,62541,0.82
92429,63683,0.82
92429,68039,0.82
92429,76394,0.82
92429,93364,0.82
92429,94390,0.836
92546,5480,0.9520000000000001
92546,46372,0.8759999999999999
92546,57574,0.904
92589,15467,0.924
92589,40896,0.84
92589,44707,0.8320000000000001
92589,65972,1.0
92589,67879,0.836
92597,65059,0.932
92787,44933,1.0
92788,44933,1.0
92793,61367,0.812
92890,87522,0.804
93057,42147,0.804
93246,8322,1.0
93491,71368,1.0
93508,11680,0.804
93508,14187,0.856
93547,48438,0.804
93720,79815,0.98
93756,80401,0.9640000000000001
93759,51580,0.8320000000000001
94019,4572,0.8079999999999999
94128,67979,0.812
94168,13544,0.892
94261,23907,0.9520000000000001
94271,70551,0.8440000000000001
94290,48676,0.8440000000000001
94367,80401,0.9640000000000001
94424,25169,0.8320000000000001
94424,55947,0.8240000000000001
94424,84540,0.804
94530,71093,1.0
94542,50527,0.804
94544,23732,1.0
94589,71093,1.0
94640,56239,1.0
94641,56239,1.0
94718,24525,0.9680000000000001
94759,39750,1.0
94760,39750,0.9520000000000001
94793,15467,0.9
94794,15467,0.9
94815,23907,0.9520000000000001
94824,14187,0.8160000000000001
94824,27798,0.856
94861,45462,1.0
94877,5773,1.0
95108,11680,0.86
95108,14187,0.856
95110,73214,1.0
95178,31457,0.852
95178,89367,0.82
95209,61061,0.828
95314,4938,1.0
95428,42162,0.884
95501,88303,0.852
95517,3115,0.94
95517,62018,0.812
95535,34830,1.0
95543,87932,0.804
95596,62018,0.9680000000000001
95717,68883,1.0
96218,20199,0.912
96218,71368,0.812
96224,9369,1.0
96403,14533,0.804
96412,9369,1.0
96437,36312,0.9880000000000001
96478,66040,1.0
96490,46776,0.828
96490,69066,0.904
97219,82798,0.868
97270,20635,0.98
97278,88290,0.804
97397,63978,0.92
97511,9743,0.836
97543,64183,1.0
97658,78083,0.956
97779,40967,1.0
97808,69039,1.0
97825,82153,0.8079999999999999
97825,85318,0.9480000000000001
97826,82153,0.8079999999999999
97826,85318,0.9480000000000001
98138,73214,1.0
98361,69039,0.8079999999999999
98461,435,0.812
98461,6622,0.8320000000000001
98461,25169,0.852
98461,39718,0.812
98461,45052,0.804
98461,55947,0.8240000000000001
98461,60000,0.836
98461,67879,0.812
98461,74092,0.804
98461,75438,0.812
98461,84540,0.8240000000000001
98491,6622,0.8160000000000001
98491,25169,0.8360000000000001
98491,55947,0.812
98491,60000,0.82
98491,84540,0.8079999999999999
98492,22573,0.8440000000000001
98492,60827,1.0
98492,84571,0.8079999999999999
87037,7860,1.0
87149,36401,1.0
87257,34069,1.0
87407,69443,0.8160000000000001
87412,36401,1.0
87415,2728,0.8160000000000001
87415,4617,1.0
87415,35575,0.8480000000000001
87415,68016,0.8560000000000001
87427,29067,0.848
87427,66845,0.9560000000000001
87564,42904,1.0
87565,90215,0.9680000000000001
87702,18450,1.0
87717,46151,1.0
87718,46151,1.0
87729,21944,0.92
87730,21944,0.92
87794,41278,0.9
87843,205,1.0
87843,32844,0.848
87843,33586,0.8079999999999999
87843,55519,0.84
87843,73134,0.8320000000000001
87903,9569,1.0
87973,9569,1.0
88211,18797,1.0
88211,64123,0.836
88218,9030,1.0
88242,60809,0.956
88242,64123,0.8680000000000001
88379,60809,0.956
88379,64123,0.8680000000000001
88619,22687,1.0
88621,10518,0.8959999999999999
88648,16313,0.848
88749,67699,1.0
88805,74172,1.0
88835,78900,1.0
88858,28731,0.956
88858,64123,0.8680000000000001
89022,42904,1.0
89034,78900,0.956
89148,29067,0.884
89176,55210,1.0
89180,25768,0.816
89230,85165,1.0
89302,33383,1.0
89309,21133,1.0
89451,92015,0.804
89490,50133,0.8080000000000002
89490,78759,0.804
89490,90702,1.0
89550,28731,0.956
89550,64123,0.8680000000000001
89608,75475,1.0
89609,75475,1.0
89673,38675,0.9079999999999999
89894,29093,0.956
90213,82917,1.0
90360,41815,0.9159999999999999
90409,77293,1.0
90448,40066,0.8440000000000001
90448,77859,0.86
90530,6356,0.86
90616,2623,0.812
90616,68279,1.0
90655,39339,1.0
90767,91837,0.9359999999999999
90786,64123,0.8680000000000001
90837,91344,1.0
91025,50133,0.8160000000000001
91025,68016,0.816
91025,78759,0.804
91025,90702,1.0
91103,19530,0.9159999999999999
91104,19530,0.9159999999999999
91174,15156,0.8080000000000002
91174,40066,0.8480000000000001
91174,81956,0.8080000000000002
91174,82000,0.804
91223,6356,0.86
91264,36842,1.0
91526,17363,1.0
91526,31416,0.804
91615,32772,0.8079999999999999
91615,46521,0.94
91801,7256,1.0
91804,17363,1.0
91804,31416,0.804
91816,57944,0.852
91818,57944,0.852
91837,57944,0.8440000000000001
91860,56510,0.9520000000000001
91861,56510,0.9520000000000001
91870,93810,1.0
91891,89896,0.9280000000000002
91906,41815,0.804
91962,77293,1.0
91994,61819,1.0
92045,7212,1.0
92071,15156,0.8080000000000002
92071,40066,0.8440000000000001
92104,19032,0.96
92200,37305,0.8759999999999999
92278,52012,0.9880000000000001
92342,28983,0.924
92342,29067,0.8160000000000001
92352,32772,0.8079999999999999
92352,46521,0.94
92362,67691,0.868
92484,93810,1.0
92521,55010,1.0
92838,8709,1.0
92840,40066,0.8440000000000001
92841,40066,0.8440000000000001
92862,20365,0.8280000000000001
92862,59311,1.0
92919,3947,0.924
92919,35755,0.8320000000000001
92931,40066,0.8440000000000001
92931,62620,0.812
92931,62743,0.86
92931,76490,0.812
92947,40066,0.8440000000000001
92947,62743,0.86
92947,76490,0.812
93046,79590,0.884
93096,58837,0.8280000000000001
93096,83231,0.94
93175,36842,0.9880000000000001
93301,31234,0.8959999999999999
93379,64729,1.0
93418,8709,0.9680000000000001
93504,8012,0.868
93582,44333,0.816
93733,81034,0.856
93735,29067,0.8160000000000001
93792,6187,0.88
93830,6913,0.812
93830,13747,0.88
93852,41971,1.0
93895,41971,0.976
93975,93243,0.856
94062,2623,1.0
94084,25768,0.92
94191,51708,0.8440000000000001
94258,20943,0.8079999999999999
94258,64123,0.86
94303,74642,1.0
94304,74642,1.0
94318,14605,1.0
94364,1578,1.0
94472,53221,1.0
94625,51708,0.8440000000000001
94626,8012,0.868
94626,50133,0.804
94626,57787,0.8080000000000002
94626,78759,0.816
94626,90702,0.816
94666,20386,0.94
94685,64729,0.956
94686,16337,1.0
94780,42933,0.956
94811,3947,0.924
94811,35755,0.8320000000000001
94878,20943,0.804
94878,64123,0.86
94929,79590,0.884
94986,31619,1.0
94986,77859,0.812
95045,20152,0.9840000000000001
95130,58848,0.8360000000000001
95164,38675,0.804
95186,66641,0.924
95254,62198,0.8440000000000001
95270,20152,0.9840000000000001
95382,15156,0.856
95382,40066,0.8440000000000001
95382,82000,0.804
95385,15156,0.856
95385,40066,0.8440000000000001
95385,82000,0.804
95407,1578,1.0
95575,7585,0.9840000000000001
95673,31123,1.0
95820,5281,1.0
95849,4278,0.892
95981,43738,0.804
95981,58837,0.8280000000000001
96048,43738,0.804
96048,58837,0.8280000000000001
96152,42933,0.956
96199,59194,1.0
96495,332,1.0
96497,332,1.0
96507,34962,0.9840000000000001
96528,67703,1.0
96546,79554,1.0
96596,20365,0.912
96692,34962,1.0
96715,6187,0.828
96828,5281,1.0
96929,27719,1.0
96953,38161,0.9520000000000001
97015,37077,0.976
97016,37077,0.976
97144,49252,1.0
97308,67703,1.0
97346,7256,0.8640000000000001
97494,9370,1.0
97500,10428,0.8079999999999999
97619,20943,0.8079999999999999
97619,64123,0.86
97619,89711,0.852
97669,47885,0.9079999999999999
97742,81068,1.0
97846,47023,1.0
97846,67699,0.8240000000000001
97851,15156,0.856
97851,40066,0.8440000000000001
97851,81956,0.888
97903,38161,0.9520000000000001
97943,645,1.0
98301,38675,0.804
87012,38708,0.82
87012,90988,1.0
87023,90439,1.0
87045,12315,1.0
87083,12308,0.868
87084,12308,0.868
87124,70169,0.9520000000000001
87159,27419,1.0
87159,28546,0.812
87159,81036,0.84
87164,76081,0.9440000000000001
87198,57937,0.8640000000000001
87198,74829,0.8280000000000001
87391,77645,1.0
87443,60671,0.84
87457,60671,0.8440000000000001
87527,21337,0.9
87528,16562,0.812
87528,60671,0.816
87590,69140,0.8440000000000001
87590,85460,0.9159999999999999
87591,69140,0.8440000000000001
87591,85460,0.9159999999999999
87725,50960,1.0
87727,50960,1.0
87744,18491,1.0
87786,91899,0.9440000000000001
87845,85593,0.9520000000000001
87977,5911,0.828
87977,25532,0.892
87977,34780,0.82
87977,60671,0.8160000000000001
88002,27419,1.0
88002,28546,0.812
88002,81036,0.84
88015,3264,0.836
88062,77202,0.852
88303,77202,0.852
88311,24202,0.852
88327,24202,0.852
88349,12702,1.0
88349,90226,0.812
88350,15880,0.94
88350,43569,0.892
88413,67184,0.836
88413,78654,0.8240000000000001
88610,5911,0.828
88610,25532,0.892
88610,34780,0.82
88610,60671,0.8160000000000001
88683,51431,1.0
88684,51431,1.0
88746,21337,1.0
88928,85593,0.9520000000000001
88965,70543,1.0
88965,78578,0.8079999999999999
88965,79144,0.82
88967,64476,0.9520000000000001
88985,34772,0.812
88985,76081,1.0
88985,77688,0.8079999999999999
88985,77779,0.828
89114,87490,0.804
89121,968,0.8080000000000002
89123,968,0.836
89154,12315,0.8240000000000001
89171,86690,0.912
89248,57650,0.924
89251,63525,1.0
89318,34284,1.0
89326,12315,0.8240000000000001
89343,27914,0.804
89343,38708,1.0
89343,90988,0.8240000000000001
89358,16562,1.0
89373,57650,0.924
89553,28546,0.812
89553,34144,1.0
89689,17438,1.0
89689,18322,1.0
89833,12315,1.0
89845,92783,0.992
89900,65097,1.0
89932,37590,0.9440000000000001
89972,91920,0.9880000000000001
89977,91920,1.0
90035,62725,0.868
90036,62725,0.868
90141,66478,1.0
90178,58008,0.976
90179,58008,0.976
90202,92783,0.992
90299,16534,0.804
90299,85460,0.82
90322,19856,0.804
90322,37590,0.8079999999999999
90418,63525,1.0
90422,64476,0.9520000000000001
90468,27914,0.804
90468,38708,1.0
90468,90988,0.8240000000000001
90513,35936,0.956
90606,69140,1.0
90635,48338,0.868
90668,19856,0.804
90741,35840,1.0
90896,92571,0.8640000000000001
90897,92571,0.9
91186,35805,0.9280000000000002
91262,37590,1.0
91262,73116,0.836
91530,80510,1.0
91531,69140,0.8440000000000001
91531,85460,0.888
91538,69140,0.8440000000000001
91538,85460,0.904
91545,77202,1.0
91616,11351,0.8080000000000002
91616,69140,0.8240000000000001
91616,85460,0.86
91617,20946,0.804
91710,28546,0.812
91710,34144,1.0
91720,66478,1.0
91865,19856,1.0
91919,22333,1.0
91919,38357,0.8160000000000001
91919,52725,0.8320000000000001
91942,79651,0.9440000000000001
91948,55360,0.8680000000000001
91948,81192,0.912
91998,77202,1.0
92017,69948,1.0
92035,60671,1.0
92092,17279,1.0
92092,70543,0.82
92092,78578,0.804
92092,79144,0.836
92113,91270,1.0
92250,35805,0.9880000000000001
92270,79114,0.936
92309,1549,0.8320000000000001
92790,20985,1.0
92813,89775,0.9440000000000001
92827,73056,1.0
92849,2061,0.84
92849,20706,0.82
92849,63193,0.8640000000000001
92859,86092,0.82
92884,91183,1.0
92896,59849,1.0
92920,73056,0.9440000000000001
93010,20806,1.0
93010,72550,0.8240000000000001
93079,60671,0.9840000000000001
93104,20687,1.0
93155,37590,0.8079999999999999
93282,80510,1.0
93302,13743,0.812
93494,37590,0.8079999999999999
93494,79483,0.8079999999999999
93526,59849,0.804
93543,69051,0.816
93563,3050,1.0
93644,739,0.804
93666,25276,0.8079999999999999
93696,4644,0.9280000000000002
93768,68429,1.0
93903,38521,0.956
93933,87151,0.9159999999999999
94080,77799,1.0
94080,93212,0.8240000000000001
94110,537,0.828
94173,34263,1.0
94179,42863,0.9480000000000001
94179,51522,0.904
94220,63871,1.0
94235,20806,0.9159999999999999
94235,72550,0.82
94319,69051,0.816
94373,37590,0.8079999999999999
94373,79483,0.8079999999999999
94413,37590,0.8079999999999999
94436,20687,0.9640000000000001
94795,93125,0.972
95001,32279,0.96
95223,5494,0.84
95281,9164,0.924
95360,69140,0.884
95429,19856,0.82
95515,42863,0.9480000000000001
95515,51522,0.904
95779,18112,0.924
95812,19856,0.8079999999999999
95825,37590,0.8079999999999999
95825,76728,0.8640000000000001
95826,37590,0.8079999999999999
95826,76728,0.8640000000000001
95909,80223,0.9680000000000001
95923,25532,0.9640000000000001
95923,60671,0.8079999999999999
95935,64558,0.8640000000000001
95962,5785,0.804
95962,32066,0.852
95962,37635,0.82
95962,81982,1.0
96168,59849,1.0
96170,77202,0.848
96216,77799,1.0
96216,93212,0.828
96221,38521,0.956
96223,18728,0.9640000000000001
96401,19856,0.8079999999999999
96401,37590,0.8079999999999999
96420,51950,1.0
96426,17279,1.0
96426,70543,0.82
96426,78578,0.804
96426,79144,0.836
96434,63525,0.828
96476,38357,0.8160000000000001
96476,44544,0.8440000000000001
96476,52725,0.8560000000000001
96476,75564,0.828
96609,968,0.84
96640,79114,0.8560000000000001
96660,30521,1.0
96671,16534,0.872
96671,28878,0.8079999999999999
96671,31718,0.82
96671,69140,0.8440000000000001
96671,73116,0.848
96671,85460,0.888
96685,47653,1.0
96753,38357,0.8160000000000001
96753,52725,0.8320000000000001
96824,25296,1.0
96827,67917,1.0
96956,3399,0.836
96956,20806,0.848
96956,72550,0.82
96965,20985,0.8959999999999999
97055,31507,0.9880000000000001
97078,36042,0.816
97078,72268,0.8759999999999999
97096,51377,0.904
97108,63360,1.0
97138,24399,0.8320000000000001
97207,47174,0.8640000000000001
97209,47174,0.812
97298,3486,0.82
97298,18315,0.82
97298,30519,0.82
97298,45926,0.82
97298,52616,1.0
97298,67041,0.82
97298,70543,0.84
97298,78578,0.836
97298,79144,0.82
97322,68191,1.0
97333,19856,1.0
97470,30521,1.0
97489,18315,0.828
97489,70543,0.836
97489,78578,0.804
97489,79144,1.0
97596,28981,0.9159999999999999
97615,57749,1.0
97624,1483,1.0
97624,32066,0.828
97624,34386,0.84
97755,47682,0.828
97756,92688,0.924
97771,47653,1.0
97787,37590,0.8079999999999999
97787,72268,0.8759999999999999
97867,59849,0.828
97938,19856,0.804
97938,37590,0.8079999999999999
98057,71354,0.804
98113,27122,0.84
98267,19856,0.828
86977,1636,1.0
87138,59140,0.804
87180,19579,0.9079999999999999
87180,67116,0.8320000000000001
87211,78609,0.98
87244,78609,1.0
87277,11618,0.8320000000000001
87277,91998,0.8440000000000001
87429,17532,0.8759999999999999
87429,93363,1.0
87430,17532,0.856
87430,93363,1.0
87570,57254,0.9840000000000001
87588,3909,0.9680000000000001
87588,24343,0.8360000000000001
87700,11032,1.0
87754,48289,0.912
87781,34052,0.812
87781,55153,1.0
87816,92433,1.0
87925,11852,0.904
87984,83841,0.88
88037,17778,0.82
88037,32820,0.8080000000000002
88037,72210,0.8080000000000002
88037,94065,1.0
88044,81410,0.872
88099,46146,0.9480000000000001
88100,46146,0.9480000000000001
88119,48289,0.92
88364,86467,0.8160000000000001
88476,55767,1.0
88523,90246,0.88
88642,3909,0.9680000000000001
88642,24343,0.8360000000000001
88801,2019,1.0
88862,34924,1.0
88889,64525,1.0
89046,17532,1.0
89046,48455,0.848
89046,93363,0.8320000000000001
89129,7598,0.8320000000000001
89146,17532,1.0
89146,48455,0.848
89146,93363,0.8320000000000001
89163,94325,0.872
89231,2906,0.9359999999999999
89290,53126,0.856
89470,39962,0.804
89470,94325,1.0
89518,3563,0.86
89518,70679,0.96
89610,65997,0.98
89611,65997,0.98
89615,16321,0.868
89615,92012,0.868
89626,16321,0.884
89626,92012,0.92
89708,35987,0.828
89776,86467,0.8160000000000001
89897,53126,0.856
89919,86291,1.0
89981,75026,1.0
89982,75026,0.9840000000000001
90317,32525,1.0
90361,52645,1.0
90364,52645,1.0
90379,91998,0.892
90383,11618,0.8320000000000001
90383,91998,0.8440000000000001
90411,50023,0.912
90413,50023,0.912
90607,67621,0.9640000000000001
90633,27303,0.812
90670,47471,0.992
90711,87830,1.0
90751,51036,0.9079999999999999
90757,80101,0.92
90825,84379,0.816
90831,69036,0.9880000000000001
90987,91998,0.892
91076,67724,1.0
91142,42699,0.8079999999999999
91198,19722,0.872
91229,16739,0.84
91229,19579,0.8079999999999999
91229,23910,0.8079999999999999
91229,67116,0.8320000000000001
91229,85615,0.8440000000000001
91304,60657,1.0
91316,13861,1.0
91334,16739,0.84
91334,19579,0.8079999999999999
91334,23910,0.8079999999999999
91334,67116,0.8320000000000001
91334,85615,0.8440000000000001
91336,87830,1.0
91340,79949,0.992
91421,60657,0.9680000000000001
91471,2227,0.804
91478,67724,1.0
91558,9976,0.8080000000000002
91558,27288,1.0
91558,66440,0.8640000000000001
91561,13861,0.9880000000000001
91878,15720,0.9680000000000001
91975,2906,1.0
92001,2227,0.804
92031,80101,0.816
92039,32311,1.0
92051,32311,1.0
92177,75616,0.852
92190,80225,1.0
92415,94325,0.868
92644,92554,1.0
92680,53464,0.8880000000000001
92728,32525,1.0
92779,35694,0.9680000000000001
92821,14197,0.8759999999999999
92830,75616,1.0
92837,14197,0.8759999999999999
92977,67104,0.812
93114,11866,0.972
93122,84379,0.816
93221,31431,0.812
93317,4235,1.0
93360,12618,0.82
93360,26821,0.9840000000000001
93378,25870,0.9520000000000001
93446,27303,0.812
93655,75616,1.0
93659,13307,0.96
93698,13929,1.0
93751,72282,1.0
93781,69625,0.9079999999999999
93781,86056,0.8360000000000001
94155,84484,1.0
94409,617,0.804
94681,11866,0.972
94748,43722,0.82
94797,7081,0.8080000000000002
94823,10377,1.0
94855,5263,0.852
94855,11618,0.804
94855,24441,1.0
94855,29461,0.804
94855,34052,0.812
94855,55153,0.8280000000000001
94855,67692,0.804
94855,93436,0.852
95094,85182,0.892
95180,78704,0.8680000000000001
95240,2669,0.8240000000000001
95242,69625,0.9079999999999999
95242,86056,0.8360000000000001
95340,77769,0.9440000000000001
95454,21929,1.0
95454,60570,0.8240000000000001
95505,84484,1.0
95568,48289,0.8240000000000001
95747,3131,0.812
95747,42248,0.804
95748,3131,0.812
95748,42248,0.804
96159,13117,0.8320000000000001
96159,32992,0.8320000000000001
96159,91998,0.892
96159,93935,0.8240000000000001
96160,13117,0.812
96160,32992,0.812
96160,91998,0.892
96201,5263,0.804
96201,24441,1.0
96201,93613,0.836
96220,78704,0.8680000000000001
96294,2669,0.836
96312,56578,1.0
96346,83191,0.804
96708,12848,0.828
96708,75139,0.932
96730,62447,1.0
96796,71796,1.0
96993,16739,0.856
96993,67116,0.8320000000000001
96993,82903,1.0
97110,93511,0.804
97111,93511,0.804
97191,45286,0.8560000000000001
97718,27189,0.8080000000000002
98041,73491,1.0
98110,5263,0.812
98110,93436,0.8079999999999999
98110,93613,0.884
98378,58919,0.804
86905,43869,1.0
86913,38183,0.8760000000000001
87006,77454,1.0
87047,72557,1.0
87094,23148,0.86
87142,12509,1.0
87221,88437,0.88
87222,88437,0.88
87285,10923,0.9440000000000001
87285,25817,0.804
87286,10923,1.0
87286,25817,0.804
87537,28561,1.0
87772,69292,1.0
87927,8751,1.0
87953,90337,0.9520000000000001
87968,86821,1.0
87982,18088,0.9
88152,42342,1.0
88228,90337,0.9520000000000001
88323,20770,0.8360000000000001
88324,20770,0.828
88348,81073,0.868
88579,11719,1.0
88888,28561,1.0
88959,73515,0.8079999999999999
88969,69292,1.0
89087,82649,0.84
89089,82649,0.84
89385,18088,0.9
89416,4094,0.8079999999999999
89416,6935,0.852
89416,37963,0.9440000000000001
89483,23148,0.82
89543,42342,1.0
89576,84089,0.9680000000000001
89826,70248,0.972
89826,84310,0.852
89827,70248,0.972
89827,84310,0.852
89918,55609,0.852
89918,91110,1.0
89940,52497,1.0
89941,52497,1.0
90049,88729,1.0
90220,92632,1.0
90226,35101,1.0
90349,84866,0.96
90350,84866,1.0
90410,48939,1.0
90529,47650,0.924
